archivo,tipo,origen,lineas,bytes,sha256
app/src/pantallas/Escucha.prueba.tsx,tsx,escrito,174,7224,dd70827428308f9a8fe66924edc087e760c1fbeecfd78d7acc36a0bee4c2e9fb
app/src/pantallas/Escucha.tsx,tsx,escrito,364,14181,b45f09d5af9c712dfdb2973c37e69af47221961be4414e12801c42a013d1e024
app/src/pantallas/Fichas.prueba.tsx,tsx,escrito,128,4964,2aa42e22bbe61c6fe58e8ca235609e8917cea3bd06ae1a53fb69db36b0571c3d
app/src/pantallas/Fichas.tsx,tsx,escrito,248,9740,0b95d0a0f5f6c765d0e0580c55c04082d343a28e8983c2edd739aa35377174dc
app/src/pantallas/Grabacion.tsx,tsx,escrito,150,6571,836693fbd0c3dc2c0a217825a7be0cfcb5e83be28f881ccd8cdf21e3bb3f18b1
app/src/pantallas/Hilo.tsx,tsx,escrito,130,5469,267e988cad3d13da583b6873fbd2cd8976f3a5d6c63d23704dae2d3ab78dcadf
app/src/pantallas/Horario.prueba.tsx,tsx,escrito,241,9102,cb97ec5c3bca66cf7b050e1d16859e871887347ddc650d86e24f688183312084
app/src/pantallas/Horario.tsx,tsx,escrito,531,20281,449c63fae0430d7c7506615f4b2f682adadd19e4fd33c5df8786716ada54c0fa
app/src/pantallas/Inicio.prueba.tsx,tsx,escrito,338,14351,f7c27ca5d476cbb0e4141c80939f482fd0701718d8347fbd4da143dd678461c8
app/src/pantallas/Inicio.tsx,tsx,escrito,525,21237,f187cd695f7a084fc2036273a89091138419447efd62eed1dae1d5b9dd95b020
app/src/pantallas/Lectura.prueba.tsx,tsx,escrito,276,10125,26b936edd919ecea7819c3bfb1c1214800752fb2102c6968b15e2f98229dfdc4
app/src/pantallas/Lectura.tsx,tsx,escrito,556,21652,a14601c446014d345716d9c5d0470dc99aff92d9b222990bc3084193dc8329e7
app/src/pantallas/Legal.prueba.tsx,tsx,escrito,51,2178,7baf95db166bfd11b1817a3f315923654fdb10a2bb0179adb7b74a685e6a2923
app/src/pantallas/Legal.tsx,tsx,escrito,150,5619,6f73e816c2beec3f9f409d4c30908ac725166479aa059e747669982a60e556a6
app/src/pantallas/MisApuntes.prueba.tsx,tsx,escrito,140,6185,c1ef486fc9500a910979ba91a1d71894d4aef329be31e0562f80f79d26cde1f4
app/src/pantallas/MisApuntes.tsx,tsx,escrito,296,12694,23cc65fa368d7d2214b20476ad25ade4f6954e5f414127dd63b149c18ec2c558
app/src/pantallas/Notas.tsx,tsx,escrito,105,4314,5ad57d350bf70af2012b18fe48f7fa1324ee8e40cc58da6653bf1998d305f6de
app/src/pantallas/Notificaciones.tsx,tsx,escrito,66,2765,1059736d6c507cfc79c3409bdc7292183a4e83dc2578fe3eba64919a49da37fa
app/src/pantallas/NuevoHilo.tsx,tsx,escrito,62,2518,e14ff01a585550c7c50b7fc6ae64c45fdb065033f22ca0b1f6f4603a5e164df6
app/src/pantallas/Perfil.prueba.tsx,tsx,escrito,172,7002,237f7da077cb3d7888162c2404b248100e02020b7383e5b74d38d445c0725f3d
app/src/pantallas/Perfil.tsx,tsx,escrito,248,10868,a276bac25a47e2bfd2ee7533430c2e1676b6f7534e990a3b495c0baf988c0277
app/src/pantallas/Perfiles.prueba.tsx,tsx,escrito,70,2597,581f26d335d486336ff8c5a313ed7e3d839d4a5bc9e663e20fbf8734790ac9c1
app/src/pantallas/Perfiles.tsx,tsx,escrito,211,8557,396001ea5cf062f0206bada96d5ee2e29cd9a4a4097ee2278707046b2b20ccfc
