paquete,licencia
@types/jest@30.0.0,"MIT"
@types/jsdom@20.0.1,"MIT"
@types/node@26.3.0,"MIT"
@types/react-reconciler@0.33.0,"MIT"
@types/react@19.2.18,"MIT"
@types/stack-utils@2.0.3,"MIT"
@types/tough-cookie@4.0.5,"MIT"
@types/yargs-parser@21.0.3,"MIT"
@types/yargs@17.0.35,"MIT"
@ungap/structured-clone@1.3.3,"ISC"
@xmldom/xmldom@0.8.15,"MIT"
@xmldom/xmldom@0.9.12,"MIT"
abab@2.0.6,"BSD-3-Clause"
abort-controller@3.0.0,"MIT"
accepts@1.3.8,"MIT"
accepts@2.0.0,"MIT"
acorn-globals@7.0.1,"MIT"
acorn-walk@8.3.5,"MIT"
acorn@8.18.0,"MIT"
agent-base@6.0.2,"MIT"
agent-base@7.1.4,"MIT"
agent-cli-detector@0.1.6,"MIT"
anser@1.4.10,"MIT"
ansi-escapes@4.3.2,"MIT"
ansi-escapes@6.2.1,"MIT"
ansi-regex@4.1.1,"MIT"
ansi-regex@5.0.1,"MIT"
ansi-regex@6.3.0,"MIT"
ansi-styles@3.2.1,"MIT"
ansi-styles@4.3.0,"MIT"
ansi-styles@5.2.0,"MIT"
anymatch@3.1.3,"ISC"
arg@5.0.2,"MIT"
argparse@1.0.10,"MIT"
argparse@2.0.1,"Python-2.0"
asap@2.0.6,"MIT"
asynckit@0.4.0,"MIT"
babel-jest@29.7.0,"MIT"
babel-plugin-istanbul@6.1.1,"BSD-3-Clause"
babel-plugin-jest-hoist@29.6.3,"MIT"
babel-plugin-polyfill-corejs2@0.4.17,"MIT"
babel-plugin-polyfill-corejs3@0.13.0,"MIT"
babel-plugin-polyfill-regenerator@0.6.8,"MIT"
babel-plugin-react-compiler@1.0.0,"MIT"
babel-plugin-react-native-web@0.21.2,"MIT"
babel-plugin-syntax-hermes-parser@0.36.0,"MIT"
babel-plugin-transform-flow-enums@0.0.2,"MIT"
babel-preset-current-node-syntax@1.2.0,"MIT"
babel-preset-expo@57.0.8,"MIT"
babel-preset-jest@29.6.3,"MIT"
badgin@1.2.3,"MIT"
balanced-match@1.0.2,"MIT"
balanced-match@4.0.4,"MIT"
base64-js@1.5.1,"MIT"
baseline-browser-mapping@2.11.19,"Apache-2.0"
big-integer@1.6.52,"Unlicense"
boolbase@1.0.0,"ISC"
bplist-creator@0.1.0,"MIT"
bplist-parser@0.3.1,"MIT"
brace-expansion@1.1.18,"MIT"
brace-expansion@5.0.9,"MIT"
braces@3.0.3,"MIT"
browserslist@4.28.8,"MIT"
bser@2.1.1,"Apache-2.0"
buffer-from@1.1.2,"MIT"
buffer@5.7.1,"MIT"
bytes@3.1.2,"MIT"
call-bind-apply-helpers@1.0.2,"MIT"
callsites@3.1.0,"MIT"
camelcase@5.3.1,"MIT"
camelcase@6.3.0,"MIT"
caniuse-lite@1.0.30001810,"CC-BY-4.0"
chalk@2.4.2,"MIT"
chalk@3.0.0,"MIT"
chalk@4.1.2,"MIT"
char-regex@1.0.2,"MIT"
char-regex@2.0.2,"MIT"
chrome-launcher@0.15.2,"Apache-2.0"
chromium-edge-launcher@0.3.0,"Apache-2.0"
ci-info@2.0.0,"MIT"
ci-info@3.9.0,"MIT"
ci-info@4.4.0,"MIT"
cjs-module-lexer@1.4.3,"MIT"
cli-cursor@2.1.0,"MIT"
cli-spinners@2.9.2,"MIT"
cliui@8.0.1,"ISC"
clone@1.0.4,"MIT"
co@4.6.0,"MIT"
collect-v8-coverage@1.0.3,"MIT"
color-convert@1.9.3,"MIT"
color-convert@2.0.1,"MIT"
color-name@1.1.3,"MIT"
color-name@1.1.4,"MIT"
color-string@1.9.1,"MIT"
color@4.2.3,"MIT"
combined-stream@1.0.8,"MIT"
